source,tokenizer,token,count
pantip,pantip_unigram,▁,42069
pantip,pantip_unigram,ใคร,444
pantip,pantip_unigram,รู้จัก,101
pantip,pantip_unigram,คน,1338
pantip,pantip_unigram,นี้,1629
pantip,pantip_unigram,บ้าง,627
pantip,pantip_unigram,▁คือ,579
pantip,pantip_unigram,เรา,3170
pantip,pantip_unigram,ค,3453
pantip,pantip_unigram,ุ,2149
pantip,pantip_unigram,้น,454
pantip,pantip_unigram,ๆ,2255
pantip,pantip_unigram,เลย,1743
pantip,pantip_unigram,อยากรู้ว่า,85
pantip,pantip_unigram,ชื่อ,241
pantip,pantip_unigram,ว่า,2763
pantip,pantip_unigram,อะไร,905
pantip,pantip_unigram,เติม,68
pantip,pantip_unigram,เงิน,630
pantip,pantip_unigram,ผิด,241
pantip,pantip_unigram,เบอร์,88
pantip,pantip_unigram,ควร,452
pantip,pantip_unigram,ทํา,1250
pantip,pantip_unigram,ยัง,605
pantip,pantip_unigram,ใ,125
pantip,pantip_unigram,ง,3568
pantip,pantip_unigram,▁ผม,418
pantip,pantip_unigram,ท,2798
pantip,pantip_unigram,ร,3873
pantip,pantip_unigram,ู,913
pantip,pantip_unigram,ดี,1439
pantip,pantip_unigram,ับ,787
pantip,pantip_unigram,วันนี้,165
pantip,pantip_unigram,เวลา,645
pantip,pantip_unigram,ประ,503
pantip,pantip_unigram,มา,3134
pantip,pantip_unigram,น,4418
pantip,pantip_unigram,1,795
pantip,pantip_unigram,.,3106
pantip,pantip_unigram,30,113
pantip,pantip_unigram,ผม,880
pantip,pantip_unigram,ได้,3098
pantip,pantip_unigram,2,774
pantip,pantip_unigram,00,482
pantip,pantip_unigram,บาท,118
pantip,pantip_unigram,ไป,3108
pantip,pantip_unigram,ที่,5320
pantip,pantip_unigram,0,575
pantip,pantip_unigram,9,589
pantip,pantip_unigram,7,759
pantip,pantip_unigram,8,802
pantip,pantip_unigram,4,1084
pantip,pantip_unigram,5,960
pantip,pantip_unigram,▁ซึ่ง,375
pantip,pantip_unigram,เป็น,2578
pantip,pantip_unigram,ไม่ได้,832
pantip,pantip_unigram,ใช้,973
pantip,pantip_unigram,จะ,3192
pantip,pantip_unigram,เข้า,766
pantip,pantip_unigram,6,979
pantip,pantip_unigram,10,331
pantip,pantip_unigram,ครับ,1648
pantip,pantip_unigram,ต,2822
pantip,pantip_unigram,ล,4080
pantip,pantip_unigram,บ,3327
pantip,pantip_unigram,หลัง,302
pantip,pantip_unigram,ฮ,233
pantip,pantip_unigram,่า,1099
pantip,pantip_unigram,R,386
pantip,pantip_unigram,un,195
pantip,pantip_unigram,n,536
pantip,pantip_unigram,ing,158
pantip,pantip_unigram,M,211
pantip,pantip_unigram,an,343
pantip,pantip_unigram,e,2403
pantip,pantip_unigram,p,1142
pantip,pantip_unigram,เท่าไหร่,91
pantip,pantip_unigram,จํา,196
pantip,pantip_unigram,ลา,507
pantip,pantip_unigram,ทุกคน,156
pantip,pantip_unigram,ใน,1755
pantip,pantip_unigram,ถูก,343
pantip,pantip_unigram,เรียก,128
pantip,pantip_unigram,หมด,290
pantip,pantip_unigram,ย,3751
pantip,pantip_unigram,ก,4668
pantip,pantip_unigram,เว,271
pantip,pantip_unigram,ให้,2013
pantip,pantip_unigram,ห,2211
pantip,pantip_unigram,อก,233
pantip,pantip_unigram,ทุก,558
pantip,pantip_unigram,ไม่รู้,256
pantip,pantip_unigram,รับ,730
pantip,pantip_unigram,ภ,302
pantip,pantip_unigram,า,3508
pantip,pantip_unigram,ิ,2139
pantip,pantip_unigram,จ,1992
pantip,pantip_unigram,▁แล้ว,714
pantip,pantip_unigram,ใจ,867
pantip,pantip_unigram,เขา,1160
pantip,pantip_unigram,ส,4042
pantip,pantip_unigram,ํา,880
pantip,pantip_unigram,เ,2506
pantip,pantip_unigram,็,629
pantip,pantip_unigram,แค่,407
pantip,pantip_unigram,อยากทราบว่า,104
pantip,pantip_unigram,▁หรือ,539
pantip,pantip_unigram,ปี,630
pantip,pantip_unigram,ไหน,605
pantip,pantip_unigram,พอ,796
pantip,pantip_unigram,ไหมครับ,201
pantip,pantip_unigram,?,568
pantip,pantip_unigram,ขอบคุณ,309
pantip,pantip_unigram,😁,9
pantip,pantip_unigram,ผู้ชาย,120
pantip,pantip_unigram,เสร็จ,89
pantip,pantip_unigram,แล้ว,1733
pantip,pantip_unigram,รู้สึก,413
pantip,pantip_unigram,ป,2181
pantip,pantip_unigram,ว,3356
pantip,pantip_unigram,ด,3705
pantip,pantip_unigram,ฉ,248
pantip,pantip_unigram,ี่,357
pantip,pantip_unigram,มี,2626
pantip,pantip_unigram,กับ,1523
pantip,pantip_unigram,แฟน,490
pantip,pantip_unigram,อะ,237
pantip,pantip_unigram,มัน,1269
pantip,pantip_unigram,ปกติ,259
pantip,pantip_unigram,ไหม,415
pantip,pantip_unigram,แบบ,746
pantip,pantip_unigram,อยาก,717
pantip,pantip_unigram,ต่อ,596
pantip,pantip_unigram,รอบ,239
pantip,pantip_unigram,บอก,546
pantip,pantip_unigram,เลิก,199
pantip,pantip_unigram,ทั้ง,498
pantip,pantip_unigram,รัก,300
pantip,pantip_unigram,เค้า,557
pantip,pantip_unigram,อยู่,1154
pantip,pantip_unigram,เคย,369
pantip,pantip_unigram,โดน,182
pantip,pantip_unigram,แบบนี้,351
pantip,pantip_unigram,ึ,335
pantip,pantip_unigram,พยายาม,108
pantip,pantip_unigram,อย่าง,648
pantip,pantip_unigram,ขอ,610
pantip,pantip_unigram,โ,1933
pantip,pantip_unigram,ศ,642
pantip,pantip_unigram,แต่,928
pantip,pantip_unigram,เธอ,89
pantip,pantip_unigram,ก็,3020
pantip,pantip_unigram,เย็น,166
pantip,pantip_unigram,ชา,368
pantip,pantip_unigram,ใส่,276
pantip,pantip_unigram,หรอ,195
pantip,pantip_unigram,เป็นคน,200
pantip,pantip_unigram,ตรง,256
pantip,pantip_unigram,▁และ,822
pantip,pantip_unigram,ไม่ค่อย,143
pantip,pantip_unigram,พูด,267
pantip,pantip_unigram,ไม่,2758
pantip,pantip_unigram,อย,271
pantip,pantip_unigram,คนที่,219
pantip,pantip_unigram,สนิท,69
pantip,pantip_unigram,นิ,298
pantip,pantip_unigram,ัย,363
pantip,pantip_unigram,กัน,1601
pantip,pantip_unigram,ข้าม,68
pantip,pantip_unigram,ชอบ,512
pantip,pantip_unigram,คุย,379
pantip,pantip_unigram,เล่น,302
pantip,pantip_unigram,เสียง,139
pantip,pantip_unigram,ัง,728
pantip,pantip_unigram,งาน,705
pantip,pantip_unigram,▁หลังจาก,95
pantip,pantip_unigram,เริ่ม,299
pantip,pantip_unigram,20,417
pantip,pantip_unigram,วัน,766
pantip,pantip_unigram,▁เรา,949
pantip,pantip_unigram,โดย,401
pantip,pantip_unigram,พื้น,97
pantip,pantip_unigram,ฐาน,95
pantip,pantip_unigram,▁แต่,1367
pantip,pantip_unigram,ถ้า,336
pantip,pantip_unigram,เรื่อง,876
pantip,pantip_unigram,ส่วนตัว,115
pantip,pantip_unigram,นี่,286
pantip,pantip_unigram,่ง,392
pantip,pantip_unigram,ทํางาน,360
pantip,pantip_unigram,น้อง,295
pantip,pantip_unigram,ใหม่,364
pantip,pantip_unigram,นึง,267
pantip,pantip_unigram,เก,356
pantip,pantip_unigram,ีย,791
pantip,pantip_unigram,นะ,518
pantip,pantip_unigram,ิ่ง,287
pantip,pantip_unigram,คํา,462
pantip,pantip_unigram,ทําให้,400
pantip,pantip_unigram,คิดว่า,215
pantip,pantip_unigram,ัน,668
pantip,pantip_unigram,หรือ,567
pantip,pantip_unigram,ทําไม,256
pantip,pantip_unigram,่อ,474
pantip,pantip_unigram,เสีย,295
pantip,pantip_unigram,เราก็,486
pantip,pantip_unigram,เฉย,50
pantip,pantip_unigram,ม,4314
pantip,pantip_unigram,คือ,738
pantip,pantip_unigram,กําลัง,262
pantip,pantip_unigram,โทรศัพท์,55
pantip,pantip_unigram,ลูกค้า,117
pantip,pantip_unigram,จุด,133
pantip,pantip_unigram,นั้น,737
pantip,pantip_unigram,พวก,160
pantip,pantip_unigram,ออก,529
pantip,pantip_unigram,ตัว,876
pantip,pantip_unigram,แรง,138
pantip,pantip_unigram,ปล่อย,92
pantip,pantip_unigram,ตาม,643
pantip,pantip_unigram,ณ,603
pantip,pantip_unigram,ตัวเอง,249
pantip,pantip_unigram,ต้อง,1230
pantip,pantip_unigram,อด,341
pantip,pantip_unigram,สถาน,90
pantip,pantip_unigram,การ,2187
pantip,pantip_unigram,คง,185
pantip,pantip_unigram,หา,859
pantip,pantip_unigram,ยา,611
pantip,pantip_unigram,ความคิดเห็น,41
pantip,pantip_unigram,ค่ะ,1515
pantip,pantip_unigram,บาง,329
pantip,pantip_unigram,ครั้ง,364
pantip,pantip_unigram,คิด,442
pantip,pantip_unigram,โลก,126
pantip,pantip_unigram,สูง,164
pantip,pantip_unigram,เกิน,149
pantip,pantip_unigram,สังคม,73
pantip,pantip_unigram,ช,1909
pantip,pantip_unigram,วน,321
pantip,pantip_unigram,สนใจ,138
pantip,pantip_unigram,สิ่งที่,108
pantip,pantip_unigram,เลือก,292
pantip,pantip_unigram,เพื่อน,595
pantip,pantip_unigram,เด,349
pantip,pantip_unigram,น่า,211
pantip,pantip_unigram,ใหญ่,188
pantip,pantip_unigram,เเล้ว,173
pantip,pantip_unigram,้า,1328
pantip,pantip_unigram,เส,389
pantip,pantip_unigram,ื้อ,188
pantip,pantip_unigram,▁แก้ไข,325
pantip,pantip_unigram,ข้อความ,392
pantip,pantip_unigram,เมื่อ,660
pantip,pantip_unigram,เรียน,502
pantip,pantip_unigram,พิเศษ,50
pantip,pantip_unigram,สอบ,560
pantip,pantip_unigram,ติด,456
pantip,pantip_unigram,มั้ย,253
pantip,pantip_unigram,▁สวัสดีค่ะ,78
pantip,pantip_unigram,สอบถาม,203
pantip,pantip_unigram,ข้อสอบ,169
pantip,pantip_unigram,▁แนวข้อสอบ,306
pantip,pantip_unigram,นะคะ,445
pantip,pantip_unigram,มาก,1168
pantip,pantip_unigram,▁ถ้า,379
pantip,pantip_unigram,ช่อง,153
pantip,pantip_unigram,แนะนํา,309
pantip,pantip_unigram,มั้ยคะ,134
pantip,pantip_unigram,โควิด,90
pantip,pantip_unigram,จะมี,250
pantip,pantip_unigram,์,1594
pantip,pantip_unigram,ไ,865
